,위도,경도,문화생활,판매시설,음식점,임대면적,보증금,임대료,문화생활_sc,판매시설_sc,음식점_sc,건강_sc,카페_sc,편의시설_sc,반려동물_sc,대중교통_sc,의료시설_sc,공공기관_sc,오락시설_sc,주소,법정동,URL_NUM
0,37.570975,126.962439,55,29,140,112,20000,350,0.0925589836660617,0.2377049180327869,0.15653153153153154,0.39655172413793105,0.10213776722090262,0.2,0.4011627906976744,0.029411764705882353,0.11823647294589178,0.5666666666666667,0.13559322033898305,서울 종로구 홍파동 199,홍파동,2203271086
1,37.574351,126.973509,197,15,557,86,2000,240,0.3502722323049002,0.12295081967213116,0.6261261261261261,0.7586206896551724,0.5463182897862233,0.6,0.22093023255813954,0.4411764705882353,0.1342685370741483,0.4,0.2033898305084746,서울 종로구 적선동 156,적선동,2203260187
2,37.574351,126.973509,197,15,557,97,2500,250,0.3502722323049002,0.12295081967213116,0.6261261261261261,0.7586206896551724,0.5463182897862233,0.6,0.22093023255813954,0.4411764705882353,0.1342685370741483,0.4,0.2033898305084746,서울 종로구 적선동 156,적선동,2203237615
3,37.57368,126.959532,29,19,82,114,10000,350,0.045372050816696916,0.1557377049180328,0.09121621621621621,0.7241379310344828,0.04513064133016627,0.26666666666666666,0.3372093023255814,0.1764705882352941,0.08216432865731461,0.5666666666666667,0.15254237288135594,서울 종로구 무악동 89,무악동,2203215806
4,37.572813,126.960399,35,26,114,20,500,45,0.056261343012704176,0.21311475409836067,0.12725225225225226,0.6724137931034483,0.057007125890736345,0.06666666666666667,0.37209302325581395,0.1764705882352941,0.09819639278557113,0.7,0.15254237288135594,서울 종로구 행촌동 209-70,행촌동,2203215058
5,37.575089,126.959959,41,15,64,109,10000,200,0.06715063520871144,0.12295081967213116,0.07094594594594594,0.6551724137931034,0.03800475059382423,0.3333333333333333,0.3372093023255814,0.1764705882352941,0.09018036072144288,0.4666666666666667,0.1016949152542373,서울 종로구 무악동 82,무악동,2203071141
6,37.572791,127.016396,125,47,248,25,300,47,0.21960072595281305,0.3852459016393443,0.27815315315315314,0.32758620689655177,0.16627078384798102,0.7333333333333333,0.6802325581395349,0.47058823529411764,0.48096192384769537,0.4,0.4745762711864407,서울 종로구 숭인동 298-9,숭인동,2202869819
7,37.568844,126.965072,62,34,216,81,20000,260,0.10526315789473684,0.27868852459016397,0.24211711711711711,0.32758620689655177,0.20902612826603328,0.2,0.4127906976744186,0.2647058823529412,0.13226452905811623,0.5666666666666667,0.22033898305084745,서울 종로구 평동 233,평동,2203040417
8,37.568709,126.971731,111,8,150,127,10000,300,0.19419237749546278,0.06557377049180328,0.1677927927927928,0.5517241379310345,0.34679334916864607,0.26666666666666666,0.36627906976744184,0.1764705882352941,0.6873747494989979,0.16666666666666666,0.06779661016949153,서울 종로구 신문로2가 171,신문로2가,2203064873
9,37.570657,126.979775,442,34,665,59,1000,95,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202837927
10,37.583663,127.005496,312,14,182,22,300,42,0.5589836660617059,0.11475409836065574,0.20382882882882883,0.8103448275862069,0.4418052256532067,0.13333333333333333,0.42441860465116277,0.14705882352941177,0.11222444889779558,0.1,0.288135593220339,서울 종로구 동숭동 4-125,동숭동,2202553039
11,37.574715,126.963324,87,13,21,30,1000,50,0.15063520871143374,0.10655737704918034,0.022522522522522525,0.4482758620689655,0.047505938242280284,0.2,0.37790697674418605,0.11764705882352941,0.13627254509018036,0.4,0.13559322033898305,서울 종로구 행촌동 210-319,행촌동,2202816458
12,37.575256,126.962674,79,8,19,39,1000,50,0.13611615245009073,0.06557377049180328,0.02027027027027027,0.4310344827586207,0.04275534441805226,0.13333333333333333,0.37790697674418605,0.1764705882352941,0.1282565130260521,0.4,0.1016949152542373,서울 종로구 행촌동 210-377,행촌동,2202702128
13,37.573449,126.973341,178,14,482,60,1000,95,0.3157894736842105,0.11475409836065574,0.5416666666666666,0.7586206896551724,0.5225653206650831,0.6666666666666666,0.2441860465116279,0.5,0.1442885771543086,0.36666666666666664,0.1864406779661017,서울 종로구 내수동 75,내수동,2203246089
14,37.576834,127.019897,99,33,115,58,12000,30,0.17241379310344826,0.27049180327868855,0.1283783783783784,0.4482758620689655,0.13301662707838482,0.06666666666666667,0.5232558139534883,0.47058823529411764,0.2565130260521042,0.9666666666666667,0.5254237288135594,서울 종로구 숭인동 181-89,숭인동,2202519916
15,37.574351,126.973509,197,15,557,86,2500,250,0.3502722323049002,0.12295081967213116,0.6261261261261261,0.7586206896551724,0.5463182897862233,0.6,0.22093023255813954,0.4411764705882353,0.1342685370741483,0.4,0.2033898305084746,서울 종로구 적선동 156,적선동,2202603070
16,37.573918,126.972383,171,13,563,69,1000,95,0.3030852994555354,0.10655737704918034,0.6328828828828829,0.7241379310344828,0.5320665083135392,0.6,0.2441860465116279,0.4117647058823529,0.14829659318637273,0.4,0.2033898305084746,서울 종로구 내수동 72,내수동,2203147170
17,37.568709,126.971731,111,8,150,133,5000,330,0.19419237749546278,0.06557377049180328,0.1677927927927928,0.5517241379310345,0.34679334916864607,0.26666666666666666,0.36627906976744184,0.1764705882352941,0.6873747494989979,0.16666666666666666,0.06779661016949153,서울 종로구 신문로2가 171,신문로2가,2203081363
18,37.574686,126.96849,163,11,266,113,10000,300,0.2885662431941924,0.09016393442622951,0.29842342342342343,0.689655172413793,0.35391923990498814,0.2,0.32558139534883723,0.23529411764705882,0.14028056112224446,0.36666666666666664,0.13559322033898305,서울 종로구 사직동 9,사직동,2203162834
19,37.570657,126.979775,442,34,665,59,1000,100,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2203109181
20,37.568709,126.971731,111,8,150,197,10000,330,0.19419237749546278,0.06557377049180328,0.1677927927927928,0.5517241379310345,0.34679334916864607,0.26666666666666666,0.36627906976744184,0.1764705882352941,0.6873747494989979,0.16666666666666666,0.06779661016949153,서울 종로구 신문로2가 171,신문로2가,2203063975
21,37.570657,126.979775,442,34,665,59,1000,90,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2203015580
